time,addr,symbol,mint_auth,freeze_auth,top1,top5,top10,top10_ex1
2026-07-14 03:30,87L6SyU4ZLXdYC3p6iyeeuyWB4zTUbMmZ6FiuAKdpump,ANDY,False,False,11.8,20.7,27.7,17.1
2026-07-14 03:38,8xPoxGkuFJ6Dj11aHYEzs7JJXykBect4ecAQSRxcpump,HIVE,False,False,24.2,34.1,41.5,18.6
2026-07-14 03:41,h5WxJzWxyApA1pbZDjt1h11eX3XJSTNLSWFpw2Vpump,GDWR,False,False,18.2,29.0,41.8,26.0
2026-07-14 04:15,jJKGVRPPzNcWpn55THJeW8vt9jUGJ4UYuELDH9Spump,TIE,False,False,23.4,35.5,45.3,23.7
2026-07-14 04:28,H5Z4id5zShaetPdVn8T2aPGuMNGKY1t9wYHMDoDMpump,SENSE,False,False,10.5,20.2,27.3,17.9
2026-07-14 04:54,FN7GB2Mf4pw1uH3ZLYKTP87DPEB1YGDY5U5gnQA9pump,febucat,False,False,10.5,11.9,13.5,3.2
2026-07-14 04:56,DuR77DMnWr7maT1zxtLtE3WUdgqsV3SzjRcSFZwpump,WSC,False,False,8.7,10.1,11.3,2.9
2026-07-14 05:02,GdBrZVWtqzSSV3Zbi7KP9uG6x1X6gtVMCAozUGE8pump,Feetcoin,False,False,24.9,36.6,46.6,23.5
2026-07-14 05:20,8RnJoeq5zTFtS6Jvrv29kSjfjmpE3bM1i7hQukpPpump,GITLANA,False,False,21.8,32.0,40.4,19.9
2026-07-14 05:33,CLrsRz21tZtHe7hkt34d8zC9t6gwLziw9SdMM6o1pump,Cardtopia,False,False,7.8,26.7,42.1,37.3
2026-07-14 06:01,GJNNtfkn54BJ7mUn6r6N7CrTyfg81aMG1T7KsFW5pump,FABLECRAFT,False,False,26.7,39.7,52.7,28.3
2026-07-14 06:07,JrjYudUbQAkTT3TQybFJpNXDqKdxn8Gic3De1v8pump,FART,False,False,13.6,22.1,28.5,15.9
2026-07-14 06:32,3UXSLKVxF5L6AaugmUhkRBoKETtThQwj6bD6qYkbpump,NYX,False,False,5.4,6.2,7.1,1.9
2026-07-14 06:37,B8UaJXxyNHtptzsLnzZTjtXpqYTtQgwYfP7cxPFtpump,Cell,False,False,21.9,33.5,44.9,24.9
2026-07-14 07:10,GQpHYdhc7dV5LH64LPEgKuDLHQf4sohMfTpnyN76pump,Chonke,False,False,16.2,31.8,43.7,29.4
2026-07-14 07:18,FsYUvJ6tMG9W4Dn3JbAfYKF4yCWWjHQbLdxYgt88pump,HOLY,False,False,25.9,35.1,41.4,16.6
2026-07-14 07:26,G9VVud86SLgb7SnTqRKXJVUkzwLzCf4R89vknWVKbonk,Trump Coin,False,False,9.0,20.9,30.2,22.4
2026-07-14 07:42,F4GpAFr6vrxU3Y887F3XWkXRgybCVjZNk63m72f6pump,TrumpCoin,False,False,9.8,19.4,28.1,19.8
2026-07-14 08:00,iru6kpmqRhSCqbzRNzCAap334py2BCSMXx1QD9Zpump,Girlet,False,False,10.0,28.6,39.8,31.5
2026-07-14 08:05,5b3WY1VzcxJ5AkW7CYPyFz85YPkeLtuovEX2szmApump,McGREJAK,False,False,7.1,10.6,12.9,6.2
2026-07-14 09:06,626cSLqBmBPbk7bTxQmiLqwHH51uKu6SKLjHGw9ppump,trumpbrain,False,False,10.2,12.5,15.3,5.7
2026-07-14 09:14,2jh4gtRWDrnXPxu9tP3DoR3vVyWSVbTncCBNLGespump,TrumpCoin,False,False,12.4,13.6,14.9,2.8
2026-07-14 09:34,CWaTh9UMcF194orWQ3eR6eb1NmEJTu3jWzT9vYdnpump,BULLRUN,False,False,8.8,16.2,23.0,15.3
2026-07-14 09:39,AjUr4msbc92FwarwYUZTcteoVgPWX7bCpjN6NTYSpump,Duck,False,False,18.5,31.9,41.7,25.0
2026-07-14 10:02,5L93JFh5xcof5rbrkrQrsj9L9TWS3faJWmzNXvaGpump,ANSEMINU,False,False,15.6,21.6,28.9,14.7
2026-07-14 10:09,5JYoWf9rqFmtCtx597s1rRipNRHyWjo5wbtbo1QCpump,MelaniaCoin,False,False,17.6,27.8,36.4,19.9
2026-07-14 10:53,FXHpCN3MF25R1czjRAcS7fodiBxFuw1s4KtBjow8pump,Larry,False,False,12.5,22.5,31.0,20.1
2026-07-14 11:14,4oPXZnLGPbcM2oDAJ95yBzXf98sZuoPBQvb6foBSpump,$TOYJAK,False,False,11.6,23.9,31.2,21.1
2026-07-14 11:16,AjYcEZggvEqbCo6ckDdrdxukcjAeeepXavTzLFsSpump,brangus,False,False,11.3,25.4,38.1,29.0
2026-07-14 11:24,AM8rELe9JLW44vyBxdNLFo5NpPZjhqbV1QhfqYAcpump,elonbrain,False,False,9.5,35.3,43.3,34.1
2026-07-14 11:37,EWeUeLQqpwcXLpkxx4ke9H5tGUTFC8Dks3HEWi47pump,Hopium,False,False,16.2,27.9,37.2,22.6
2026-07-14 11:39,wwJ7C2fWJxKbTgFUs1cu6K1R8C2dt3AhaXDi1egpump,WIFKING,False,False,12.9,50.0,74.0,64.9
2026-07-14 11:44,FRbT3zVScVDmXEWokGuhzT7DhMXzhgNFbXVqHTVZpump,Ca$hcats,False,False,11.9,13.1,14.4,2.8
2026-07-14 11:57,8AhpvPpx3t3jMNXWu9cuCHquSLe88rtRAiuywVu8pump,CASHFROG,False,False,13.5,15.3,17.4,4.4
2026-07-14 12:18,Ayh1jEyvubun4Gku3sHDTrVk6wSFS6UNzF863esBpump,FELIX,False,False,20.7,32.3,40.9,21.7
2026-07-14 12:53,AcPqEaR9LmNj6grvx28QKCfUmsg48GpT4ZZpfjh7o9Du,sif,False,False,26.3,37.5,48.0,23.4
2026-07-14 12:58,FRPkiVD6viVZaikA6bPLr7hokMygmGpomo566oeHpump,BULIK,False,False,10.9,18.2,24.4,14.0
2026-07-14 13:15,4SLVH8rturi925CyqaRTJUajPBix7JNJaGL5EGoZpump,bullbrain,False,False,9.6,39.0,47.4,38.1
2026-07-14 13:35,GKfy62eGEVjQXrMtRBX3ZopGxy2DnCoX1ZCieAUEpump,CUDDLEFISH,False,False,18.3,32.8,42.6,25.8
2026-07-14 13:47,3ZeMHrshWHUB45Bc2rDYd37DK1p4rRhxLXCMb9GApump,BANKCAT,False,False,9.9,23.6,38.2,30.1
2026-07-14 14:19,FH39qZsn2udwwR3Nw3mSLDctG2VdhdfyBmomKxmrpump,CARL,False,False,26.1,44.2,55.0,30.4
2026-07-14 14:29,FkhxdWbWMNg8r4JuYJNn97ibh7BvPdB58evtVYWGpump,CP,False,False,5.5,20.0,37.4,34.8
2026-07-14 15:08,9s6kzxciDgDdhR6S6CLei25w9AjH9XnQUS4YLHMVpump,MAGACOIN,False,False,10.4,12.5,14.6,4.6
2026-07-14 15:30,HjCZxEZ6JCcuHsSFkhCSV1NUAhfVfshcM5cZvegLpump,ANSEMCOIN,False,False,9.4,15.3,22.5,14.6
2026-07-14 15:38,6oGuFDbEeaSzTcvrmmd2MqfNYwHKXFoN7regcR22pump,NEEGY,False,False,25.6,37.2,47.2,23.1
2026-07-14 15:44,CRXfwQYQkQV85FnRHcLNqW3Ho5kDDzwDqpwQ9mP9pump,RocketCoin,False,False,52.7,85.1,89.5,37.2
2026-07-14 15:49,2etvNMkNGKFqA1esxAq374wvTzrc2qr7kDXrh8tVpump,popdog,False,False,14.8,25.7,34.7,21.2
2026-07-14 16:02,JB7GpuvEWq9L2aF6oPJRM1149wugdA7HfNd85gAjpump,bullfart,False,False,17.1,25.3,32.9,17.0
2026-07-14 16:18,5eiJm3oJRXcd3Aahg338P9DFULG8PPzmCUXGoFKpump,Flea,False,False,20.9,33.1,42.3,22.8
2026-07-14 16:53,AQDiV5brA4C8r7vHNGjoXv3QjRmLzjPSB9Hg5piVpump,CP,False,False,6.5,19.6,30.7,26.3
2026-07-14 16:55,5ZDbLHiqxizAnpyTxzL4Bou1WmqFp2G69zHN2f17pump,Happiness,False,False,23.0,35.3,45.4,24.2
2026-07-14 17:34,BVsfqB9T7Bjwt9BRBkthtFipbAJkim8pAvwG44fUCkit,FUCKIT,False,False,17.3,27.9,34.2,18.1
2026-07-14 17:35,6cmc6eYVYFx47C74R6QG6J7tNpv5CnXKUhtuVSWqpump,Toly,False,False,26.4,38.0,48.8,24.4
2026-07-14 17:36,ECaBKkfVSc9MdS12RLqiHZBjydJrAt95xGF1WXmapump,$KillDonJr,False,False,6.5,9.0,11.8,5.9
2026-07-14 18:18,7gVn5Q24Wrefc1bJYD7T59odemPXD8ggwXUmpbnKpump,crashcat,False,False,20.4,29.8,37.9,18.8
2026-07-14 18:45,6fkhFEPL1KjipJkAuJg6gCQmHsnvwfhJXUyjV2Tspump,Robbinghood,False,False,23.0,30.1,36.4,14.4
2026-07-14 19:10,CVhWiQ2SBhpTJ3xAR3ekf3uf8Ns2tNzj3mEtzKSpump,WINGIT,False,False,9.0,12.2,14.2,5.5
2026-07-14 19:26,EGB4sv9ddNhWeUhnsAvpqP8xaEps4cx5bc956LPcpump,BULLCOIN,False,False,10.0,11.9,14.1,4.4
2026-07-14 19:33,8YNLYUNK25xi4L8jGSfoCg6wnYNt4CKtdfe1LgMzpump,DEBTDOG,False,False,21.0,29.9,38.0,18.5
2026-07-14 19:37,5poHHYifZcxnEfKySUJ4YcyyHnE7gnMivwryUhb9pump,GERSEM,False,False,3.2,10.7,16.0,12.9
2026-07-14 19:39,FzjSYeMaKvJtruzMyoeZzhb6uhA8ZXY9ibeTBM2Upump,MSGA,False,False,13.0,20.7,28.1,16.4
