time,variant,addr,symbol,price,liq,entry,peak_pct
2026-07-24 00:22:43,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002826,39367.13,0.00020330438378825477,42.74
2026-07-24 00:23:03,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002749,38813.74,0.00020330438378825477,42.74
2026-07-24 00:23:24,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002749,38813.74,0.00020330438378825477,42.74
2026-07-24 00:23:44,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000278,39039.67,0.00020330438378825477,42.74
2026-07-24 00:24:04,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002832,39417.46,0.00020330438378825477,42.74
2026-07-24 00:24:24,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002832,39417.46,0.00020330438378825477,42.74
2026-07-24 00:24:44,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002789,39111.05,0.00020330438378825477,42.74
2026-07-24 00:25:04,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002811,39273.29,0.00020330438378825477,42.74
2026-07-24 00:25:24,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002811,39273.29,0.00020330438378825477,42.74
2026-07-24 00:25:45,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002794,39204.65,0.00020330438378825477,42.74
2026-07-24 00:26:05,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002784,39134.35,0.00020330438378825477,42.74
2026-07-24 00:26:25,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002784,39134.35,0.00020330438378825477,42.74
2026-07-24 00:26:45,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002835,39508.14,0.00020330438378825477,42.74
2026-07-24 00:27:05,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002741,38826.57,0.00020330438378825477,42.74
2026-07-24 00:27:25,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002741,38826.57,0.00020330438378825477,42.74
2026-07-24 00:27:45,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002847,39599.79,0.00020330438378825477,42.74
2026-07-24 00:28:06,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002807,39312.94,0.00020330438378825477,42.74
2026-07-24 00:28:26,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002807,39312.94,0.00020330438378825477,42.74
2026-07-24 00:28:46,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002795,39227.24,0.00020330438378825477,42.74
2026-07-24 00:29:06,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002808,39323.53,0.00020330438378825477,42.74
2026-07-24 00:29:26,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002808,39323.53,0.00020330438378825477,42.74
2026-07-24 00:29:46,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002766,39020.3,0.00020330438378825477,42.74
2026-07-24 00:30:07,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002836,39530.82,0.00020330438378825477,42.74
2026-07-24 00:30:27,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002836,39530.82,0.00020330438378825477,42.74
2026-07-24 00:30:47,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002776,39101.93,0.00020330438378825477,42.74
2026-07-24 00:31:07,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002814,39380.09,0.00020330438378825477,42.74
2026-07-24 00:31:28,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002772,39077.59,0.00020330438378825477,42.74
2026-07-24 00:31:28,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,8.338e-05,20304.01,8.338e-05,0.0
2026-07-24 00:31:48,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002772,39077.59,0.00020330438378825477,42.74
2026-07-24 00:31:48,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,8.338e-05,20304.01,8.338e-05,0.0
2026-07-24 00:32:08,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000292,40144.75,0.00020330438378825477,43.63
2026-07-24 00:32:08,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,8.169e-05,20087.74,8.338e-05,0.0
2026-07-24 00:32:28,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000292,40144.75,0.00020330438378825477,43.63
2026-07-24 00:32:28,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,8.169e-05,20087.74,8.338e-05,0.0
2026-07-24 00:32:48,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002896,39984.6,0.00020330438378825477,43.63
2026-07-24 00:32:48,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,8.253e-05,20197.29,8.338e-05,0.0
2026-07-24 00:33:09,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002896,39984.6,0.00020330438378825477,43.63
2026-07-24 00:33:09,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,8.253e-05,20197.29,8.338e-05,0.0
2026-07-24 00:33:29,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002865,39766.78,0.00020330438378825477,43.63
2026-07-24 00:33:29,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,7.756e-05,19540.68,8.338e-05,0.0
2026-07-24 00:33:49,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002865,39766.78,0.00020330438378825477,43.63
2026-07-24 00:33:49,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,7.756e-05,19540.68,8.338e-05,0.0
2026-07-24 00:34:09,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002892,39962.65,0.00020330438378825477,43.63
2026-07-24 00:34:09,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,7.614e-05,19349.25,8.338e-05,0.0
2026-07-24 00:34:30,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002868,39790.56,0.00020330438378825477,43.63
2026-07-24 00:34:30,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,7.554e-05,19267.96,8.338e-05,0.0
2026-07-24 00:34:30,v12,5xhJC2F2q8Mgk1DYaMBTxNY8t8xDE7cdgTcv5cevpump,TIT,0.0002312,37841.26,0.0002317,0.0
2026-07-24 00:34:50,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002868,39790.56,0.00020330438378825477,43.63
2026-07-24 00:34:50,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,7.554e-05,19267.96,8.338e-05,0.0
2026-07-24 00:34:50,v12,5xhJC2F2q8Mgk1DYaMBTxNY8t8xDE7cdgTcv5cevpump,TIT,0.0002312,37841.26,0.0002317,0.0
2026-07-24 00:35:10,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002928,40218.78,0.00020330438378825477,44.02
2026-07-24 00:35:10,v12,HgExLiK9p7E3FHq16gTej8fRdNqciopR8bNoDjmspump,BEGGARS,7.516e-05,19215.98,8.338e-05,0.0
